Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
Святослав Евдоченко,@svtagt,1.8,Не заполнено,Heuristic Match: номер,Активен в 1 каналах,1,"**Блок питания **Cooler Master Elite NEX W700

Номер модели**:** MPW-7001-ACBW

Разъемы :
🔸**24-pin ..."
olga alexandrova,@Olga_al2004,1.8,Не заполнено,Heuristic Match: услуги стоимость,Активен в 1 каналах,1,"Добрый день. Хочу предложить услугу        
ДОМАШНИЙ ПОВАР. Одно посещение избавит Вас от необходимо..."
prodajuNS,@prodajuNS,1.8,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам и отдам:
1) Курточку, по маркировке 86 см, большемерит, носили до 2,5 лет 
2) Штаны черные OV..."
uborkavbel,@uborkavbel,1.8,Не заполнено,Heuristic Match: цена заказ,Активен в 1 каналах,1,"Вы дышите пылью и сидите за мутными окнами?

Верните себе свет и воздух!

Везде шерсть домашних живо..."
Miša,@misha_bulic,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Opel Astra K Универсал 2017 • 1.6 CDTI • Механика
186 000 км, оригинальный пробег

Продаю свой автом..."
BETONCIKKOT,@BETONCIKKOT,1.8,Не заполнено,Heuristic Match: пишите заказ подбор,Активен в 1 каналах,1,"Собираю игровые ПК под заказ 🐈⚡️ (Белград)

Если нужен мощный компьютер под игры/работу — помогу соб..."
Евгений Петров,@Evgen_Petrov787,1.8,Не заполнено,Heuristic Match: заказ телефон,Активен в 1 каналах,1,"Добрый день!
**Предлагаем грузоперевозки **
переезды

Доставка **мебели,техники**, вещей на склад, и..."
Zovy.app,@zovy_app,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"📍Novi Sad

•  **Сушист **
Требования: опыт работы от 2 лет 
Зарплата от 5000 динар/смена

• Помощник..."
МишКа,@Mishka_food,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"**🔥 АКЦИЯ ДЛЯ НОВЫХ КЛИЕНТОВ — «ПОПРОБУЙ МИШКУ» 🔥

Хочешь сразу понять, за что нас любят? Вот идеаль..."
FastRestore Ремонт компьютеров и телефонов,@FastRestore,1.8,Не заполнено,Heuristic Match: viber whatsapp телефон,Активен в 1 каналах,1,"Мастерская по ремонту ноутбукоа, компьютеров, телефонов, планшетов и игровых консоль в Нови-Саде!

🔧..."
Grigorii Pestov,@pestov2000climber,1.8,Не заполнено,Heuristic Match: продам цена телефон,Активен в 1 каналах,1,Продам **RODE Wireless PRO - **компактную беспроводную микрофонную систему для записи звука на **кам...
ArturRa1,@ArturRa1,1.8,Не заполнено,Heuristic Match: ищу курс помощь (Business),Активен в 1 каналах,1,"Здравствуйте!
Меня зовут Артур, 36 лет.
В ближайшее время приезжаю в Сербию. Планирую остаться в Нов..."
Irene,@Chelovekpozitiv,1.8,Не заполнено,Heuristic Match: стоимость пишите,Активен в 1 каналах,1,"**• ПРОДАНО 
Сушилка-дегидратор **Gorenje** **

**• ПРОДАНО
Умные весы Xiaomi **

**• ПРОДАНО
Вафель..."
Дмитрий Владимирович,@DIDESG,1.8,Не заполнено,Heuristic Match: услуги прайс телефон,Активен в 1 каналах,1,"ВИЗАРАН • ТРАНСФЕР • ПЕРЕЕЗДЫ •  IKEA • METRO

Здравствуйте, меня зовут Дмитрий 🙋‍♂
Я опытный водите..."
"Ivan Car Rental, Transfer and Travel",@Kotiki_Car_rental_transfer,1.8,Не заполнено,Heuristic Match: пишите заказ курс,Активен в 1 каналах,1,"Всем чао!
Kotiki Travel предлагает вам:

🚗 Аренду авто в Белграде без кредитной карты!
🚌 Путешествия..."
Natalia,@natadrub,1.8,Не заполнено,Heuristic Match: whatsapp,Активен в 1 каналах,1,"Мальчики и девочки, а также их родители.
На этом белоснежном коне я отвезу вас из Белграда хоть на к..."
Николай Туринов,@nikola_turov,1.8,Не заполнено,Heuristic Match: пишите в лс телефон,Активен в 1 каналах,1,"**ТРАНСФЕР | ПЕРЕЕЗДЫ | ПОЕЗДКИ**

**БЕЛГРАД ➖ СЕРБИЯ** ➖ **8 МЕСТ**

🚌 **ТРАНСФЕР** 🛩
По Белграду и..."
Diana Nikiforova,@dijana8888,1.8,Не заполнено,Heuristic Match: цена пишите помощь,Активен в 1 каналах,1,Перевозка пассажиров и груза автомобильным транспортом! Надёжные и быстрые грузоперевозки по Сербии!...
Марго,@m_shevela,1.8,Не заполнено,Heuristic Match: стоимость помощь,Активен в 1 каналах,1,"🧹🧹 **Помощь по дому в Белграде | Панчево** 
**клининг, уборка
**
Меня зовут Марго, я вместе с команд..."
Andre Fathersson,@andresome,1.8,Не заполнено,Heuristic Match: продам цена телефон,Активен в 1 каналах,1,Продам VR очки XREAL ONE PRO + адаптер для подключения PlayStation. Очки используются как виртуальны...
tima,@tima_faye,1.8,Не заполнено,Heuristic Match: ищу цена,Активен в 1 каналах,1,"**Уроки немецкого в мини-группе**

📍Белград (онлайн в Zoom)

Hallöö! Меня зовут Тима и я ищу ученико..."
Ваш трансфер 🇷🇸,@transfervas,1.8,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"**Ваш трансфер в Белграде**
Перевозка пассажиров
и багажа по всей Сербии. 
Стоимость от 4000din.

🚙🚌..."
VracarSecondHands,@VracarSecondHands,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Видеокарта ATI Radeon HD 4670

ATI **Radeon HD 4670** **1Gb** 
DVI-I / D-sub / **HDMI**
очень слабая..."
Maša,@CleaningBeograd369,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Привет, Я Маша. Ваш автомобиль как новый — прямо у вашего дома!» 🚗✨ Представляем комплексную выездну..."
